artist_id,fecha_prediccion,royalties_forecast,lower_ci,upper_ci,modelo
A07,2025-05-01,926695.4842479331,489638.9778496343,1363751.990646232,SARIMAX
A07,2025-06-01,990260.9829719774,454978.2682523357,1525543.6976916192,SARIMAX
A07,2025-07-01,1054458.4830540894,436367.2441822117,1672549.721925967,SARIMAX
A07,2025-08-01,1119294.3045078537,428247.291300564,1810341.3177151429,SARIMAX
A07,2025-09-01,1184774.8305469826,427770.7556865768,1941778.905407388,SARIMAX
A08,2025-04-01,10247.876400784357,-5559.236543755409,26054.989345324124,SARIMAX
A08,2025-05-01,-937.9222998369952,-23292.55580796844,21416.71120829445,SARIMAX
A08,2025-06-01,-12241.20587883424,-39619.9286197568,15137.516862088316,SARIMAX
A08,2025-07-01,-23663.14918499207,-55277.375074071606,7951.07670408746,SARIMAX
A08,2025-08-01,-35204.93881558231,-70550.71788759009,140.84025642547203,SARIMAX
A08,2025-09-01,-46867.77323384839,-85587.13425451374,-8148.412213183037,SARIMAX
A09,2025-04-01,12071.798451593408,10015.856341743018,14127.740561443798,SARIMAX
A09,2025-05-01,14144.833737455425,11424.405203819457,16865.262271091393,SARIMAX
A09,2025-06-01,16244.097669280338,12972.032144347282,19516.163194213397,SARIMAX
A09,2025-07-01,18359.45689358207,14618.555846552785,22100.35794061136,SARIMAX
A09,2025-08-01,20492.459919513,16334.980469738905,24649.93936928709,SARIMAX
A09,2025-09-01,22643.09798126403,18107.17314306524,27179.02281946282,SARIMAX
A10,2025-04-01,14580.74098212074,12582.10556437066,16579.37639987082,SARIMAX
A10,2025-05-01,17966.871287987102,15151.160530509584,20782.58204546462,SARIMAX
A10,2025-06-01,21386.968827265548,17942.789064516815,24831.14859001428,SARIMAX
A10,2025-07-01,24841.37750791019,20866.894162753782,28815.8608530666,SARIMAX
A10,2025-08-01,28330.44040894427,23888.519483169388,32772.36133471915,SARIMAX
A10,2025-09-01,31854.50407281943,26989.855559253367,36719.15258638549,SARIMAX
A11,2025-04-01,9045.278807546076,-24177.334932619236,42267.89254771139,SARIMAX
A11,2025-05-01,9110.2103193998,-24112.40342076551,42332.82405956512,SARIMAX
A11,2025-06-01,9174.79815112743,-24047.81558903788,42397.41189129274,SARIMAX
A11,2025-07-01,9239.0388659277,-23983.57487423761,42461.65260609301,SARIMAX
A11,2025-08-01,9302.928992631338,-23919.68474753397,42525.542732796646,SARIMAX
A11,2025-09-01,9366.46502535738,-23856.14871480793,42589.07876552269,SARIMAX
A12,2025-04-01,1688.3728105443915,-925.0402136155284,4301.785834704311,SARIMAX
A12,2025-05-01,1411.953079299139,-2283.971063550305,5107.877222148583,SARIMAX
A12,2025-06-01,1133.0007308463428,-3393.5634081608687,5659.564869853554,SARIMAX
A12,2025-07-01,851.4904390139272,-4375.335609305913,6078.316487333767,SARIMAX
A12,2025-08-01,567.3966243681098,-5276.372550936771,6411.165799672991,SARIMAX
A12,2025-09-01,280.6934516807378,-6120.834944654952,6682.221848016427,SARIMAX
A13,2025-04-01,314387.23927514814,-2.063749848061253e+19,2.063749848061316e+19,SARIMAX
A13,2025-05-01,342777.3181304263,-2.063768838188255e+19,2.063768838188324e+19,SARIMAX
A13,2025-06-01,368415.4240638187,-2.06377242488708e+19,2.063772424887153e+19,SARIMAX
A13,2025-07-01,395216.2399933467,-2.063773102316225e+19,2.063773102316304e+19,SARIMAX
A13,2025-08-01,421478.13153298345,-2.063773230264137e+19,2.0637732302642213e+19,SARIMAX
A13,2025-09-01,447940.2842740658,-2.0637732544300143e+19,2.063773254430104e+19,SARIMAX
A14,2025-04-01,444655.58127729874,303350.02944436495,585961.1331102325,SARIMAX
A14,2025-05-01,446047.0580142112,246210.83017346187,645883.2858549606,SARIMAX
A14,2025-06-01,447492.07495307736,202743.6797868785,692240.4701192762,SARIMAX
A14,2025-07-01,448991.1674959161,166380.0638300485,731602.2711617837,SARIMAX
A14,2025-08-01,450544.8763987676,134576.05690220755,766513.6958953276,SARIMAX
A14,2025-09-01,452153.7478252317,106027.24801214354,798280.2476383197,SARIMAX
A15,2025-04-01,460260.1256989905,318903.2987903032,601616.9526076778,SARIMAX
A15,2025-05-01,459826.9949198901,318470.1680112028,601183.8218285774,SARIMAX
A15,2025-06-01,459397.3333339513,318040.50642526394,600754.1602426386,SARIMAX
A15,2025-07-01,458971.1756331055,317614.3487244182,600328.0025417928,SARIMAX
A15,2025-08-01,458548.55685620353,317191.7299475162,599905.3837648908,SARIMAX
A15,2025-09-01,458129.51239248505,316772.68548379774,599486.3393011724,SARIMAX
A01,2025-04-01,2318.768798828125,,,LSTM
A01,2025-05-01,2973.432861328125,,,LSTM
A01,2025-06-01,2725.994384765625,,,LSTM
A01,2025-07-01,3430.2587890625,,,LSTM
A01,2025-08-01,4239.2998046875,,,LSTM
A01,2025-09-01,5199.60400390625,,,LSTM
A02,2025-04-01,6849.5322265625,,,LSTM
A02,2025-05-01,6859.5244140625,,,LSTM
A02,2025-06-01,6841.22607421875,,,LSTM
A02,2025-07-01,6833.91845703125,,,LSTM
A02,2025-08-01,7023.01416015625,,,LSTM
A02,2025-09-01,7214.572265625,,,LSTM
A03,2025-04-01,661514.25,,,LSTM
A03,2025-05-01,630344.3125,,,LSTM
A03,2025-06-01,639101.6875,,,LSTM
A03,2025-07-01,644877.8125,,,LSTM
A03,2025-08-01,657780.5,,,LSTM
A03,2025-09-01,660055.5625,,,LSTM
A04,2025-04-01,2147.95458984375,,,LSTM
A04,2025-05-01,2204.46142578125,,,LSTM
A04,2025-06-01,2313.607666015625,,,LSTM
A04,2025-07-01,2418.70849609375,,,LSTM
A04,2025-08-01,2524.80615234375,,,LSTM
A04,2025-09-01,2630.176513671875,,,LSTM
A05,2025-04-01,330143.78125,,,LSTM
